Date,Open,High,Low,Close,Volume
4-Aug-15,113.15,122.79,113.00,121.15,29653323
3-Aug-15,114.60,114.60,111.78,112.56,10144817
31-Jul-15,111.95,115.00,111.15,114.31,16349071
30-Jul-15,106.40,111.90,105.40,111.56,14229196
29-Jul-15,106.83,107.75,105.40,107.08,6695640
28-Jul-15,107.29,107.94,103.88,106.90,11155945
27-Jul-15,107.79,109.86,106.25,106.43,11302624
24-Jul-15,111.55,111.68,108.90,109.34,8125065
23-Jul-15,110.91,112.18,109.84,110.10,8306774
22-Jul-15,112.14,113.88,110.56,111.50,10500548
21-Jul-15,110.21,113.71,109.32,112.51,14085422
20-Jul-15,114.70,114.70,110.14,110.55,22676913
17-Jul-15,117.34,117.88,114.24,114.77,25136948
16-Jul-15,111.02,116.49,107.68,115.81,63460992
15-Jul-15,99.97,100.75,97.05,98.13,30898594
14-Jul-15,101.27,101.64,99.65,100.37,19736437
13-Jul-15,98.10,102.31,98.08,101.09,33205011
10-Jul-15,97.52,98.50,96.90,97.23,21636594
9-Jul-15,94.90,95.85,94.29,95.73,16731316
8-Jul-15,93.47,94.00,92.28,93.51,12990691
7-Jul-15,95.01,95.43,92.62,94.09,21573272
6-Jul-15,93.47,94.93,93.34,94.57,11808384
2-Jul-15,94.00,94.20,93.21,94.04,11053231
1-Jul-15,94.81,95.24,93.22,93.64,14699419
30-Jun-15,93.36,94.36,92.79,93.85,16880458
29-Jun-15,91.51,92.91,91.12,92.23,24575887
26-Jun-15,95.30,95.31,93.09,93.09,30314697
25-Jun-15,95.48,96.00,93.46,94.89,41623204
24-Jun-15,100.01,100.89,96.40,96.94,77138796
23-Jun-15,96.34,97.39,95.75,97.31,15626436
22-Jun-15,95.04,96.69,94.19,96.41,16732905
19-Jun-15,96.24,96.42,93.82,93.87,19814802
18-Jun-15,94.65,95.34,94.37,94.74,8963122
17-Jun-15,95.13,95.13,93.96,94.27,9905119
16-Jun-15,94.24,95.61,93.69,95.27,16043020
15-Jun-15,92.86,93.59,91.66,93.43,19053951
12-Jun-15,94.92,95.34,94.12,94.42,10278821
